Baccalaureate Institution,Current Institution,Field of Study,Year,Status
Albion College,University of California-Davis,Chemistry - other (specify) - Bio-analytical,2011,award
University of Denver,University of California-Berkeley,Psychology - Social,2011,award
University of California-Davis,University of California-Davis,Life Sciences - Genetics,2011,award
Montana State University,University of Colorado at Boulder,Geosciences - Paleoclimate,2011,award
University of Washington,Columbia University,Chemistry - Inorganic,2011,award
University of Wisconsin-Madison,Brown University,Mathematical Sciences - Algebra or Number Theory,2011,award
Washington and Jefferson College,University of California-San Francisco,Life Sciences - Cell Biology,2011,award
Yale University,Massachusetts Institute of Technology,Social Sciences - Economics (except Business Administration),2011,award
Winston-Salem State University,Northwestern University,Psychology - Cognitive,2011,award
University of Wisconsin-Madison,University of Washington,Life Sciences - Genetics,2011,award
Drexel University,Undecided,Physics and Astronomy - Optics,2011,award
Rensselaer Polytechnic Institute,University of California-Santa Barbara,Engineering - Chemical Engineering,2011,award
Northwestern University,Undecided,Engineering - Materials,2011,award
PRINCETON UNIVERSITY,Hunter College of CUNY,Social Sciences - Economics (except Business Administration),2011,award
University of Florida,Undecided,Engineering - Environmental,2011,award
Colorado School of Mines,University of Colorado at Boulder,Mathematical Sciences - other (specify) - Computational Math Modeling,2011,award
University of Florida,University of Illinois at Urbana-Champaign,Life Sciences - Biophysics,2011,award
San Diego State University,Undecided,Psychology - Neuropsychology,2011,award
Lafayette College,University of Miami,Psychology - Cognitive,2011,award
University of Pennsylvania,University of Pennsylvania,Life Sciences - Neurosciences,2011,award
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Comp/IS/Eng - Computer Science - Theoretical Foundations,2011,award
University of Virginia Main Campus,University of Virginia Main Campus,Engineering - Chemical Engineering,2011,award
University of Florida,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",Chemistry - Theoretical,2011,award
University of Puerto Rico Mayaguez,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Neurosciences,2011,award
University of Virginia Main Campus,University of Chicago,Life Sciences - other (specify) - Evolutionary Genetics,2011,award
University of Arizona,University of Arizona,Engineering - Mechanical,2011,award
University of Texas at Austin,Columbia University,Social Sciences - Economics (except Business Administration),2011,award
Trinity College,University of California - Riverside,Chemistry - Analytical,2011,award
Colgate University,Northwestern University,Chemistry - Theoretical,2011,award
University of California-Berkeley,Stanford University,Life Sciences - Evolutionary Biology,2011,award
University of Chicago,Carnegie-Mellon University,Mathematical Sciences - Probability and Statistics,2011,award
Swarthmore College,Harvard University,Life Sciences - Immunology,2011,award
Indiana University,Indiana University,Psychology - Developmental,2011,award
University of North Carolina at Chapel Hill,University of Michigan Ann Arbor,Social Sciences - Political Science,2011,award
Princeton University,Stanford University,Comp/IS/Eng - Computer Architecture and Grids,2011,award
Denison University,SUNY College of Environmental Science and Forestry,Life Sciences - Ecology,2011,award
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Life Sciences - Computational Biology,2011,award
William Marsh Rice University,UNIVERSITY OF MICHIGAN,Life Sciences - Neurosciences,2011,award
University of Michigan Ann Arbor,University of Michigan Ann Arbor,Engineering - Materials,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,Northwestern University,Chemistry - Organic,2011,award
UNIVERSITY OF MARYLAND,University of Virginia Main Campus,Engineering - Biomedical,2011,award
UNIVERSITY OF ILLINOIS,UNIVERSITY OF CALIFORNIA BERKELEY,Chemistry - Inorganic,2011,award
University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Engineering - Mechanical,2011,award
Bryn Mawr College,Bryn Mawr College,Mathematical Sciences - Topology,2011,award
University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Engineering - Aeronautical and Aerospace,2011,award
University of Minnesota-Twin Cities,University of Arizona,Physics and Astronomy - Astronomy,2011,award
Dartmouth College,University of Washington,Comp/IS/Eng - Operating Systems and Middleware,2011,award
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","HARVARD COLLEGE, PRESIDENT & FELLOWS OF",Comp/IS/Eng - Operating Systems and Middleware,2011,award
University of Minnesota-Twin Cities,University of Minnesota-Twin Cities,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
University of Texas at Austin,University of California-Santa Barbara,Psychology - Cognitive,2011,award
University of North Carolina at Chapel Hill,Princeton University,Life Sciences - Molecular Biology,2011,award
Brown University,University of Texas at Austin,Psychology - Cognitive Neuroscience,2011,award
University of Michigan Ann Arbor,University of Michigan Ann Arbor,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
MIAMI UNIVERSITY,University of Kansas Main Campus,Psychology - Social,2011,award
University of Washington,University of Washington,Life Sciences - Molecular Biology,2011,award
San Diego State University Foundation,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",Life Sciences - Cell Biology,2011,award
University of Pittsburgh,University of Pittsburgh,Engineering - Biomedical,2011,award
Saint Olaf College,University of California-Santa Barbara,Life Sciences - Ecology,2011,award
South Dakota School of Mines and Technology,University of Minnesota-Twin Cities,Engineering - Biomedical,2011,award
University of Wisconsin-Madison,University of Wisconsin-Madison,Chemistry - Polymer,2011,award
Cornell University,Cornell University,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
Georgia Institute of Technology,Georgia Institute of Technology,Engineering - Biomedical,2011,award
Hamilton College,Hamilton College,Psychology - Cognitive Neuroscience,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,Harvard University,Life Sciences - Biochemistry,2011,award
Stanford University,Stanford University,Chemistry - Inorganic,2011,award
VIRGINIA POLYTECH INST AND STATE UN,VIRGINIA POLYTECH INST AND STATE UN,Engineering - Civil Engineering,2011,award
University of Pittsburgh,University of Pittsburgh,Engineering - Bioengineering,2011,award
Franklin W. Olin College of Engineering,Massachusetts Institute of Technology,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
Northwestern University,University of California-Santa Barbara,Engineering - Materials,2011,award
United States Military Academy,Undecided,Engineering - Systems Engineering,2011,award
Purdue University,Case Western Reserve University,Engineering - Biomedical,2011,award
Loyola University New Orleans,Louisiana State University,Life Sciences - Biochemistry,2011,award
University of Louisiana at Lafayette,Tulane University,Chemistry - Bio-organic,2011,award
Lafayette College,Drexel University,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
CORNELL UNIVERSITY,Undecided,Geosciences - Climate Dynamics,2011,award
Duke University,Undecided,Social Sciences - Sociology  (except Social Work),2011,award
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",Undecided,Engineering - Mechanical,2011,award
University of Houston,Yale University,Psychology - Physiological,2011,award
Harvard University,Harvard University,Life Sciences - Neurosciences,2011,award
University of Texas at El Paso,University of Florida,Life Sciences - Neurosciences,2011,award
Evergreen State College,Indiana University,Psychology - Social,2011,award
Reed College,University of Iowa,Psychology - Cognitive,2011,award
Haverford College,Yale University,Life Sciences - Immunology,2011,award
Stanford University,Stanford University,Life Sciences - Immunology,2011,award
New York University,Northwestern University,Engineering - Materials,2011,award
Purdue University,Purdue University,Engineering - Nuclear,2011,award
University of Wisconsin-Madison,University of Minnesota-Twin Cities,Life Sciences - Ecology,2011,award
University of Rochester,Johns Hopkins Medical Institute,Life Sciences - Neurosciences,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,UNIVERSITY OF CALIFORNIA BERKELEY,Physics and Astronomy - Astronomy,2011,award
Williams College,University of Pennsylvania,Life Sciences - Evolutionary Biology,2011,award
Howard University,University of Michigan,Engineering - Electrical and Electronic,2011,award
University of Michigan,William Marsh Rice University,Life Sciences - Ecology,2011,award
Brandeis University,University of Pennsylvania,Physics and Astronomy - Condensed Matter Physics,2011,award
University of British Columbia,Undecided,Life Sciences - Evolutionary Biology,2011,award
Bowdoin College,Oregon State University,Life Sciences - Marine Biology,2011,award
University of Utah,University of Wisconsin-Madison,Chemistry - Bio-organic,2011,award
Clemson University,University of Texas at Austin,Life Sciences - Ecology,2011,award
University of California-Riverside,University of California-Riverside,Engineering - Bioengineering,2011,award
Colorado State University,University of Washington,Life Sciences - Fish and Wildlife,2011,award
University of Rochester,University of Rochester,Physics and Astronomy - Theoretical Physics,2011,award
California Institute of Technology,California Institute of Technology,Mathematical Sciences - Geometry,2011,award
University of Wisconsin-Madison,University of Wisconsin-Madison,Engineering - Biomedical,2011,award
University of Minnesota-Twin Cities,University of Minnesota-Twin Cities,Life Sciences - Fish and Wildlife,2011,award
Tufts University,Tufts University,Engineering - Electrical and Electronic,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,UNIVERSITY OF CALIFORNIA BERKELEY,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
Swarthmore College,Massachusetts Institute of Technology,Psychology - Psycholinguistics,2011,award
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Mathematical Sciences - Algebra or Number Theory,2011,award
Columbia University,Undecided,Social Sciences - Physical Anthropology,2011,award
University of California-Berkeley,Undecided,Social Sciences - Sociology  (except Social Work),2011,award
Brown University,Undecided,Life Sciences - Ecology,2011,award
University of Michigan Ann Arbor,University of Michigan Ann Arbor,Engineering - Mechanical,2011,award
Hamilton College,Yale University,Life Sciences - Immunology,2011,award
University of California-Berkeley,New York University,Social Sciences - Sociology  (except Social Work),2011,award
Harvey Mudd College,Undecided,Engineering - Civil Engineering,2011,award
University of New Mexico,University of Washington,Social Sciences - Medical Anthropology,2011,award
University of Cincinnati Main Campus,University of Montana,Life Sciences - Ecology,2011,award
Duke University,Duke University,Comp/IS/Eng - Computer Science - Theoretical Foundations,2011,award
Franklin and Marshall College,Yale University,Life Sciences - Neurosciences,2011,award
Georgetown University,University of California-Berkeley,Social Sciences - Geography,2011,award
Drexel University,Drexel University,Engineering - Electrical and Electronic,2011,award
North Carolina State University,North Carolina State University,Life Sciences - Genetics,2011,award
CORNELL UNIVERSITY,Undecided,Life Sciences - Evolutionary Biology,2011,award
Colorado School of Mines,Stanford University,Engineering - Materials,2011,award
Haverford College,Ruhr University Bochum,Chemistry - Physical,2011,award
University of California-Berkeley,Harvard University,Life Sciences - Evolutionary Biology,2011,award
University of Connecticut,Pennsylvania State Univ University Park,Engineering - Engineering Science,2011,award
University of Alabama Tuscaloosa,Pennsylvania State Univ University Park,Social Sciences - Sociology  (except Social Work),2011,award
Duke University,University of Pennsylvania,Social Sciences - Economics (except Business Administration),2011,award
Indiana University-Purdue University at Indianapolis,University of Arkansas,Psychology - Social,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,UNIVERSITY OF CALIFORNIA BERKELEY,Engineering - Industrial,2011,award
UNIVERSITY OF MICHIGAN,California Institute of Technology,Physics and Astronomy - Optics,2011,award
Harvard University,Harvard University,Chemistry - Organic,2011,award
Winthrop University,Clemson University,Comp/IS/Eng - Human Computer Interaction,2011,award
University of Arkansas,University of Texas at Austin,Engineering - Chemical Engineering,2011,award
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,Engineering - Biomedical,2011,award
Southwestern University,Duke University,Life Sciences - Neurosciences,2011,award
Fort Lewis College,Fort Lewis College,Life Sciences - Fish and Wildlife,2011,award
Baylor University,Baylor University,Engineering - Materials,2011,award
Pontifical Catholic University of Puerto Rico,Pontifical Catholic University of Puerto Rico,Psychology - Developmental,2011,award
University of Rochester,University of Rochester,Psychology - Developmental,2011,award
University of Florida,University of Florida,Engineering - Environmental,2011,award
SUNY College of Environmental Science and Forestry,University of California-Santa Cruz,Life Sciences - Fish and Wildlife,2011,award
Iowa State University,Iowa State University,Engineering - Mechanical,2011,award
Albion College,University of Wisconsin-Madison,Geosciences - Geochemistry,2011,award
University of Pittsburgh,UNIVERSITY OF ILLINOIS,Life Sciences - Biochemistry,2011,award
Yale University,Cambridge University,Comp/IS/Eng - Computer Science - Theoretical Foundations,2011,award
UNIVERSITY OF MICHIGAN,UNIVERSITY OF MICHIGAN,Engineering - Systems Engineering,2011,award
University of California-Berkeley,University of California-Berkeley,Social Sciences - Sociology  (except Social Work),2011,award
Ohio State University,Ohio State University,Engineering - Mechanical,2011,award
Edinboro University of Pennsylvania,University of Michigan,Psychology - Physiological,2011,award
Vanderbilt University,University of California-Davis,Life Sciences - Ecosystem Ecology,2011,award
Georgia Institute of Technology,Georgia Institute of Technology,Physics and Astronomy - Plasma,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,University of California-San Francisco,Life Sciences - Genetics,2011,award
University of the Pacific,University of Colorado at Boulder,Engineering - Mechanical,2011,award
Stanford University,Stanford University,Engineering - Materials,2011,award
University of Alabama at Birmingham,Washington University School of Medicine,Life Sciences - Biophysics,2011,award
University of Nebraska-Lincoln,Northwestern University,Social Sciences - Physical Anthropology,2011,award
Columbia University,Columbia University,Life Sciences - Neurosciences,2011,award
Saint Cloud State University,Miami University,STEM Education and Learning Research - Science Education,2011,award
Cornell University,Cornell University,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
Louisiana State University & Agricultural and Mechanical College,Louisiana State University & Agricultural and Mechanical College,"Geosciences - other (specify) - Life Sciences, Biochemistry",2011,award
Occidental College,University of California-Riverside,Social Sciences - Sociology  (except Social Work),2011,award
Purdue University,Purdue University,Engineering - Biomedical,2011,award
Macalester College,Washington University,Psychology - Cognitive,2011,award
Dartmouth College,Undecided,Social Sciences - International Relations,2011,award
UNIVERSITY OF ILLINOIS,UNIVERSITY OF ILLINOIS,Physics and Astronomy - Astrophysics,2011,award
San Diego State University,Duke University,Engineering - Aeronautical and Aerospace,2011,award
Occidental College,University of California-Riverside,Life Sciences - Botany (including Plant Physiology),2011,award
University of Georgia,Colorado State University,Life Sciences - Animal Behavior,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,UNIVERSITY OF CALIFORNIA BERKELEY,Mathematical Sciences - Algebra or Number Theory,2011,award
Carnegie-Mellon University,Carnegie-Mellon University,Engineering - Electrical and Electronic,2011,award
Yale University,Yale University,Social Sciences - Political Science,2011,award
University of North Carolina at Chapel Hill,Undecided,Psychology - Psycholinguistics,2011,award
University of California-Los Angeles,Undecided,Physics and Astronomy - Particle Physics,2011,award
Northeastern University,Northeastern University,Engineering - Electrical and Electronic,2011,award
Beloit College,North Carolina State University,Life Sciences - Ecology,2011,award
Brown University,Undecided,Social Sciences - Cultural Anthropology,2011,award
University of Florida,University of Florida,Engineering - Nuclear,2011,award
University of Virginia Main Campus,University of Virginia Main Campus,Comp/IS/Eng - Computer Science - Theoretical Foundations,2011,award
University of Notre Dame,University of Notre Dame,Social Sciences - Cultural Anthropology,2011,award
Drexel University,University of California-Los Angeles,Psychology - Experimental or Comparative,2011,award
PRINCETON UNIVERSITY,Harvard University,Social Sciences - Sociology  (except Social Work),2011,award
Wellesley College,Cornell University,Social Sciences - Political Science,2011,award
Columbia University,Georgia Institute of Technology,Engineering - Civil Engineering,2011,award
United States Naval Academy,United States Naval Academy,Geosciences - Physical Oceanography,2011,award
University of Wisconsin-Madison,University of California-Davis,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
University of Washington,University of Washington,Comp/IS/Eng - Information Technology and Organizations,2011,award
The Master's College,University of California-Davis,Chemistry - Inorganic,2011,award
Bryn Mawr College,Stanford University School of Medicine,Life Sciences - Neurosciences,2011,award
Pennsylvania State Univ University Park,University of Massachusetts Amherst,Engineering - Materials,2011,award
University of California-Santa Cruz,University of Southern California,Chemistry - Inorganic,2011,award
Beloit College,University of Washington School of Medicine,Life Sciences - Immunology,2011,award
Vanderbilt University,Vanderbilt University,Engineering - Chemical Engineering,2011,award
University of Connecticut,University of Connecticut,Life Sciences - Ecology,2011,award
New York University,New York University,Life Sciences - Neurosciences,2011,award
University of North Carolina at Chapel Hill,Duke University,Life Sciences - Cell Biology,2011,award
Creighton University,Creighton University,Engineering - Bioengineering,2011,award
William Marsh Rice University,Undecided,Physics and Astronomy - Solid State,2011,award
Smith College,Tufts University,Life Sciences - Evolutionary Biology,2011,award
Georgia Institute of Technology,Stanford University,Engineering - Civil Engineering,2011,award
University of Florida,University of Massachusetts Amherst,Engineering - Materials,2011,award
University of Wisconsin-Madison,Undecided,Life Sciences - Genetics,2011,award
Brown University,Undecided,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
Pennsylvania State Univ University Park,Pennsylvania State Univ University Park,Engineering - Mechanical,2011,award
Morehouse College,Morehouse College,Engineering - Mechanical,2011,award
University of Illinois at Urbana-Champaign,Indiana University,Psychology - Cognitive,2011,award
UNIVERSITY OF MICHIGAN,UNIVERSITY OF MICHIGAN,Engineering - Civil Engineering,2011,award
Clark University,Clark University,Psychology - Social,2011,award
Tufts University,Texas A&M University Main Campus,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
University of Pittsburgh,University of Pittsburgh,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
Johnson C. Smith University,Pennsylvania State Univ University Park,Comp/IS/Eng - Information Technology and Organizations,2011,award
Duke University,Duke University,Engineering - Aeronautical and Aerospace,2011,award
SUNY at Buffalo,University of Colorado at Boulder,Engineering - Aeronautical and Aerospace,2011,award
Louisiana State University & Agricultural and Mechanical College,Louisiana State University & Agricultural and Mechanical College,Engineering - Electrical and Electronic,2011,award
University of California-Berkeley,Northwestern University,Chemistry - Organic,2011,award
Virginia Commonwealth University,Virginia Commonwealth University,Life Sciences - Evolutionary Biology,2011,award
Worcester Polytechnic Institute,Cornell University,Engineering - Biomedical,2011,award
Lewis and Clark College,Lewis and Clark College,Social Sciences - Economics (except Business Administration),2011,award
California Polytechnic State University,University of California-Irvine,Chemistry - Organic,2011,award
Emory University,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Microbiology,2011,award
Boston University Communications Inc,Ohio State University,Engineering - Materials,2011,award
University of California-Berkeley,Brown University,Life Sciences - Evolutionary Biology,2011,award
Georgia Institute of Technology,Georgia Institute of Technology,Geosciences - Paleoclimate,2011,award
University of California-Berkeley,Undecided,Social Sciences - Economics (except Business Administration),2011,award
Hobart and William Smith Colleges,UCLA-HIGHER EDUCATION RESEARCH INSTITUTE,Psychology - Social,2011,award
University of California-Irvine,University of California-Los Angeles,Life Sciences - Immunology,2011,award
Davidson College,Harvard University,Life Sciences - Developmental Biology,2011,award
New York University,Undecided,Social Sciences - Physical Anthropology,2011,award
Northwestern University,Northwestern University,Comp/IS/Eng - other (specify) - Music Information Retrieval,2011,award
University of Miami,Georgia Institute of Technology,Engineering - Bioengineering,2011,award
University of Southern California,University of California-Irvine,Life Sciences - Neurosciences,2011,award
Indiana University at South Bend,Indiana University at South Bend,Physics and Astronomy - Theoretical Physics,2011,award
University of Notre Dame,UNIVERSITY OF CALIFORNIA BERKELEY,Chemistry - Analytical,2011,award
University of Nevada Reno,Pennsylvania State University Agricultural Experiment Station,Life Sciences - other (specify) - Plant Biology,2011,award
Union College,University of Pennsylvania School of Medicine,Life Sciences - Pharmacology,2011,award
Washington University,Harvard University,Social Sciences - Physical Anthropology,2011,award
Columbia University,Columbia University,Social Sciences - Economics (except Business Administration),2011,award
University of Florida,University of Florida,Engineering - Materials,2011,award
University of California-Santa Cruz,University of California-Riverside,Psychology - Social,2011,award
William Marsh Rice University,Undecided,Geosciences - Paleoclimate,2011,award
California Institute of Technology,University of Washington,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
Portland State University,Oregon Health and Science University,Chemistry - Bio-inorganic,2011,award
University of Minnesota-Twin Cities,University of Maryland College Park,Social Sciences - Linguistics,2011,award
University of California-Berkeley,Stanford University,Life Sciences - Biophysics,2011,award
California Institute of Technology,California Institute of Technology,Life Sciences - Computational Biology,2011,award
Hampshire College,Harvard University,Psychology - Social,2011,award
University of Arizona,University of California-Los Angeles,Psychology - Developmental,2011,award
University of Washington,University of Washington,Engineering - Biomedical,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Biophysics,2011,award
Massachusetts Institute of Technology,Stanford University,Engineering - Materials,2011,award
Massachusetts Institute of Technology,Stanford University,Engineering - Chemical Engineering,2011,award
University of Illinois at Urbana-Champaign,Massachusetts Institute of Technology,Chemistry - Physical,2011,award
University of California-Berkeley,Undecided,Chemistry - Bio-organic,2011,award
Massachusetts Institute of Technology,UNIVERSITY OF CALIFORNIA BERKELEY,Engineering - Environmental,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,Undecided,Life Sciences - Marine Biology,2011,award
University of New Mexico,Dartmouth College,Psychology - Cognitive Neuroscience,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,Stanford University,Chemistry - Physical,2011,award
UNIVERSITY OF ILLINOIS,University of Texas at Austin,Engineering - Materials,2011,award
San Jose State University,University of Minnesota-Twin Cities,Chemistry - Materials,2011,award
University of Texas at Austin,University of Texas at Austin,Engineering - Chemical Engineering,2011,award
Zhejiang University,Cornell University,Engineering - Biomedical,2011,award
California Institute of Technology,California Institute of Technology,Engineering - Bioengineering,2011,award
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Life Sciences - Microbiology,2011,award
PRINCETON UNIVERSITY,Columbia University,Engineering - Biomedical,2011,award
University of California-Berkeley,University of California-Berkeley,Life Sciences - Molecular Biology,2011,award
Rice University,Stanford University,Engineering - Electrical and Electronic,2011,award
Massachusetts Institute of Technology,Stanford University,Engineering - Mechanical,2011,award
UNIVERSITY OF ILLINOIS,UNIVERSITY OF ILLINOIS,Physics and Astronomy - Nuclear,2011,award
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF",Harvard University,Life Sciences - Microbiology,2011,award
Scripps College,University of California-Los Angeles,Life Sciences - Evolutionary Biology,2011,award
Pennsylvania State Univ University Park,Pennsylvania State Univ University Park,Engineering - Bioengineering,2011,award
University of Delaware,University of Delaware,Engineering - Chemical Engineering,2011,award
Brandeis University,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Biophysics,2011,award
Smith College,University of California-Los Angeles,Psychology - Physiological,2011,award
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Engineering - Materials,2011,award
Stanford University,Cambridge University,Mathematical Sciences - Geometry,2011,award
University of Nebraska-Lincoln,University of Texas at Austin,Physics and Astronomy - Astronomy,2011,award
Columbia University,PRINCETON UNIVERSITY,Life Sciences - Ecosystem Ecology,2011,award
University of Wisconsin-Eau Claire,Pennsylvania State Univ University Park,Social Sciences - Geography,2011,award
University of Arkansas,University of Arkansas,Physics and Astronomy - other (specify) - biological,2011,award
California Institute of Technology,University of California-Los Angeles,Engineering - Aeronautical and Aerospace,2011,award
University of New England,University of New England,Life Sciences - Marine Biology,2011,award
Massachusetts Institute of Technology,University of Washington,Engineering - Bioengineering,2011,award
University of Wisconsin-Madison,University of Wisconsin-Madison,Engineering - Biomedical,2011,award
University of North Carolina at Chapel Hill,University of Georgia,Comp/IS/Eng - Information Technology and Organizations,2011,award
Eastern Washington University,University of California-Riverside,Life Sciences - Physiology,2011,award
Rensselaer Polytechnic Institute,UNIVERSITY OF MICHIGAN,Engineering - Environmental,2011,award
University of California-Irvine,University of California-San Francisco,Life Sciences - Biochemistry,2011,award
North Carolina State University,North Carolina State University,Mathematical Sciences - other (specify) - Applied Mathematics,2011,award
University of Texas at Austin,University of Texas at Austin,Engineering - Mechanical,2011,award
Stanford University,Duke University,Psychology - Cognitive Neuroscience,2011,award
Brigham Young University,Massachusetts Institute of Technology,Life Sciences - Computational Biology,2011,award
Smith College,Undecided,Engineering - Biomedical,2011,award
UNIVERSITY OF CALIFORNIA BERKELEY,UNIVERSITY OF CALIFORNIA BERKELEY,Physics and Astronomy - Theoretical Physics,2011,award
Princeton University,Massachusetts Institute of Technology,Engineering - Materials,2011,award
Harvard University,Undecided,Life Sciences - Molecular Biology,2011,award
University of Texas at Austin,University of Texas at Austin,Social Sciences - Cultural Anthropology,2011,award
Macalester College,Undecided,Life Sciences - Ecology,2011,award
San Francisco State University,University of Hawaii Manoa,Life Sciences - Zoology,2011,award
Cornell University,PRINCETON UNIVERSITY,Mathematical Sciences - Algebra or Number Theory,2011,award
University of Pennsylvania,University of Pennsylvania,Engineering - Materials,2011,award
